CYKD, AKLAVIK/FREDDIE CARMICHAEL, NT
CWKP, KEAT'S POINT, NT
CYXQ, BEAVER CREEK, YT
CWKM, KOMAKUK BEACH, YT
CYDB, BURWASH, YT
CYCO, KUGLUKTUK, NU
CYCB, CAMBRIDGE BAY, NU
CYUJ, LADY FRANKLIN POINT, NU
CZCP, CAPE PARRY, NT
CWLI, LIVERPOOL BAY, NT
CWPX, CAPE PEEL WEST, NU
CYLK, LUTSELKE/LUTSELK'E, NT
CYVL, COLVILLE LAKE/TOMMY KOCHON, NT
CYMA, MAYO, YT
CWXR, CROKER RIVER, NU
CYVQ, NORMAN WELLS, NT
CYDA, DAWSON CITY, YT
CYOC, OLD CROW, YT
CWON, DAWSON, YT
CYPC, PAULATUK/PAULATUK (NORA ALIQATCHIALUK RUBEN), NT
CYWJ, DELINE, NT
CYSY, SACHS HARBOUR (DAVID NASOGALUAK JR. SAARYUAQ), NT
CYOA, EKATI, NT
CYUA, SHINGLE POINT, YT
CZFA, FARO, YT
CWVH, STORM HILLS, YT
CYGH, FORT GOOD HOPE, NT
CYZW, TESLIN, YT
CYJF, FORT LIARD, NT
CYUB, TUKTOYAKTUK/JAMES GRUBEN, NT
CZFM, FORT MCPHERSON, NT
CZFN, TULITA, NT
CYFR, FORT RESOLUTION, NT
CYHI, ULUKHAKTOK/HOLMAN, NT
CYFS, FORT SIMPSON, NT
CYQH, WATSON LAKE, YT
CYSM, FORT SMITH, NT
CYWE, WEKWEETI, NT
CYRA, GAMETI/RAE LAKES, NT
CYXY, WHITEHORSE/ERIK NIELSEN INTL, YT
CWIL, HAT ISLAND, NU
CYWY, WRIGLEY, NT
CYHY, HAY RIVER/MERLYN CARTER AIRPORT, NT
CYZF, YELLOWKNIFE, NT
CYEV, INUVIK (MIKE ZUBKO), NT
